time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,factor,run
0,0,600,150,0,0,-8,0.002,1
3,0,600,150,0,0,-7.75,0.002,1
6,0,600,150,0,0,-7.5,0.002,1
9,0,600,150,0,0,-7.25,0.002,1
12,0,600,150,0,0,-7,0.002,1
15,0,600,150,0,0,-6.75,0.002,1
18,0,600,150,0,0,-6.5,0.002,1
21,0,600,150,0,0,-6.25,0.002,1
24,0,600,150,0,0,-6,0.002,1
27,0,600,150,0,0,-5.75,0.002,1
30,0,600,150,0,0,-5.5,0.002,1
33,0,600,150,0,0,-5.25,0.002,1
36,0,600,150,0,0,-5,0.002,1
39,0,600,150,0,0,-4.75,0.002,1
42,0,600,150,0,0,-4.5,0.002,1
45,0,600,150,0,0,-4.25,0.002,1
48,0,600,150,0,0,-4,0.002,1
51,0,600,150,0,0,-3.75,0.002,1
54,0,600,150,0,0,-3.5,0.002,1
57,0,600,150,0,0,-3.25,0.002,1
60,0,600,150,0,0,-3,0.002,1
63,0,600,150,0,0,-2.75,0.002,1
66,0,600,150,0,0,-2.5,0.002,1
69,0,600,150,0,0,-2.25,0.002,1
72,0,600,150,0,0,-2,0.002,1
75,0,600,150,0,0,-1.75,0.002,1
78,0,600,150,0,0,-1.5,0.002,1
81,0,600,150,0,0,-1.25,0.002,1
84,0,600,150,0,0,-1,0.002,1
87,0,600,150,0,0,-0.75,0.002,1
90,0,600,150,0,0,-0.5,0.002,1
93,0,600,150,0,0,-0.25,0.002,1
96,0,600,150,0,0,0,0.002,1
99,0,600,150,0,0,0.25,0.002,1
102,0,600,150,0,0,0.5,0.002,1
105,0,600,150,0,0,0.75,0.002,1
108,0,600,150,0,0,1,0.002,1
111,0,600,150,0,0,1.25,0.002,1
114,0,600,150,0,0,1.5,0.002,1
117,0,600,150,0,0,1.75,0.002,1
120,0,600,150,0,0,2,0.002,1
123,0,600,150,0,0,2.25,0.002,1
126,0,600,150,0,0,2.5,0.002,1
129,0,600,150,0,0,2.75,0.002,1
132,0,600,150,0,0,3,0.002,1
135,0,600,150,0,0,3.25,0.002,1
138,0,600,150,0,0,3.5,0.002,1
141,0,600,150,0,0,3.75,0.002,1
144,0,600,150,0,0,4,0.002,1
147,0,600,150,0,0,4.25,0.002,1
150,0,600,150,0,0,4.5,0.002,1
153,0,600,150,0,0,4.75,0.002,1
156,0,600,150,0,0,5,0.002,1
159,0,600,150,0,0,5.25,0.002,1
162,0,600,150,0,0,5.5,0.002,1
165,0,600,150,0,0,5.75,0.002,1
168,0,600,150,0,0,6,0.002,1
171,0,600,150,0,0,6.25,0.002,1
174,0,600,150,0,0,6.5,0.002,1
177,0,600,150,0,0,6.75,0.002,1
180,0,600,150,0,0,7,0.002,1
183,0,600,150,0,0,7.25,0.002,1
186,0,600,150,0,0,7.5,0.002,1
189,17,583,150,0,0,7.75,0.002,1
192,28,572,150,0,0,8,0.002,1
195,36,564,150,0,0,8.25,0.002,1
198,43,557,150,0,0,8.5,0.002,1
201,54,546,150,1,0,8.75,0.002,1
204,61,539,150,3,0,9,0.002,1
207,66,534,150,4,0,9.25,0.002,1
210,72,528,150,5,0,9.5,0.002,1
213,76,524,150,6,0,9.75,0.002,1
216,82,518,150,6,0,10,0.002,1
219,89,511,150,8,0,10.25,0.002,1
222,90,510,150,9,0,10.5,0.002,1
225,93,507,150,10,0,10.75,0.002,1
228,100,500,150,10,0,11,0.002,1
231,104,496,150,12,0,11.25,0.002,1
234,113,487,150,15,0,11.5,0.002,1
237,118,482,150,16,0,11.75,0.002,1
240,120,480,150,16,0,12,0.002,1
243,123,477,150,18,0,12.25,0.002,1
246,123,477,150,18,0,12.5,0.002,1
249,125,475,150,19,0,12.75,0.002,1
252,125,476,150,20,0,13,0.002,1
255,127,474,150,22,0,13.25,0.002,1
258,127,474,150,24,0,13.5,0.002,1
261,128,473,150,26,0,13.75,0.002,1
264,132,470,150,28,0,14,0.002,1
267,132,470,150,29,0,14.25,0.002,1
270,135,468,150,30,0,14.5,0.002,1
273,136,467,150,31,0,14.75,0.002,1
276,136,469,150,33,0,15,0.002,1
279,138,467,150,35,0,15.25,0.002,1
282,139,466,150,35,1,15.5,0.002,1
285,139,466,150,36,3,15.75,0.002,1
288,139,466,150,37,6,16,0.002,1
291,139,466,150,39,10,16.25,0.002,1
294,139,467,150,42,12,16.5,0.002,1
297,140,466,150,44,14,16.75,0.002,1
300,140,466,150,47,14,17,0.002,1
303,140,466,150,49,16,17.25,0.002,1
306,140,466,150,51,21,17.5,0.002,1
309,140,466,150,54,25,17.75,0.002,1
312,140,466,150,55,29,18,0.002,1
315,140,467,150,56,30,18.25,0.002,1
318,140,467,150,58,30,18.5,0.002,1
321,140,468,150,59,33,18.75,0.002,1
324,140,468,150,60,33,19,0.002,1
327,140,468,150,62,34,19.25,0.002,1
330,140,468,150,63,35,19.5,0.002,1
333,140,470,150,65,36,19.75,0.002,1
336,140,470,150,66,37,20,0.002,1
339,140,470,150,68,37,20.25,0.002,1
342,140,471,150,69,38,20.5,0.002,1
345,140,471,150,71,39,20.75,0.002,1
348,140,472,150,72,40,21,0.002,1
351,140,472,150,72,40,21.25,0.002,1
354,140,474,150,74,41,21.5,0.002,1
357,140,477,150,74,42,21.75,0.002,1
360,140,477,150,76,47,22,0.002,1
363,140,478,150,77,48,22.25,0.002,1
366,139,478,150,77,48,22.5,0.002,1
369,138,479,150,77,48,22.75,0.002,1
372,138,479,150,78,49,23,0.002,1
375,137,480,150,79,50,23.25,0.002,1
378,136,481,150,80,51,23.5,0.002,1
381,134,481,150,82,52,23.75,0.002,1
384,133,481,150,83,53,24,0.002,1
387,131,481,150,84,54,24.25,0.002,1
390,130,481,150,85,54,24.5,0.002,1
393,130,481,150,86,54,24.75,0.002,1
396,130,481,150,88,55,25,0.002,1
399,129,481,150,90,56,25.25,0.002,1
402,128,483,150,91,56,25.5,0.002,1
405,127,483,150,94,56,25.75,0.002,1
408,127,484,150,97,56,26,0.002,1
411,127,484,150,98,56,26.25,0.002,1
414,125,485,150,99,56,26.5,0.002,1
417,124,486,150,102,56,26.75,0.002,1
420,124,487,150,103,56,27,0.002,1
423,124,487,150,105,56,27.25,0.002,1
426,122,487,150,107,56,27.5,0.002,1
429,122,487,150,108,57,27.75,0.002,1
432,121,488,150,109,57,28,0.002,1
435,121,489,150,109,57,28.25,0.002,1
438,121,489,150,110,57,28.5,0.002,1
441,121,490,150,111,57,28.75,0.002,1
444,119,490,150,114,57,29,0.002,1
447,119,490,150,115,57,29.25,0.002,1
450,119,490,150,117,58,29.5,0.002,1
453,119,490,150,117,59,29.75,0.002,1
456,119,491,150,120,59,30,0.002,1
459,119,492,150,122,59,30.25,0.002,1
462,119,493,150,124,59,30.5,0.002,1
465,119,494,150,126,59,30.75,0.002,1
468,119,494,150,127,59,31,0.002,1
471,116,496,150,128,59,31.25,0.002,1
474,116,501,150,129,59,31.5,0.002,1
477,116,502,150,130,59,31.75,0.002,1
480,116,502,150,132,59,32,0.002,1
483,115,502,150,133,59,32.25,0.002,1
486,115,503,150,135,59,32.5,0.002,1
489,115,504,150,136,60,32.75,0.002,1
492,115,504,150,138,60,33,0.002,1
495,115,504,150,141,60,33.25,0.002,1
498,115,504,150,142,60,33.5,0.002,1
501,115,504,150,144,61,33.75,0.002,1
504,115,506,150,146,61,34,0.002,1
507,115,506,150,148,61,34.25,0.002,1
510,115,508,150,150,61,34.5,0.002,1
513,115,509,150,153,61,34.75,0.002,1
516,115,510,150,154,63,35,0.002,1
519,114,510,150,156,63,35.25,0.002,1
522,114,510,150,157,63,35.5,0.002,1
525,114,510,150,159,63,35.75,0.002,1
528,114,511,150,161,63,36,0.002,1
531,113,511,150,163,63,36.25,0.002,1
534,113,512,150,165,63,36.5,0.002,1
537,113,512,150,166,63,36.75,0.002,1
540,113,513,150,167,63,37,0.002,1
543,112,513,150,169,63,37.25,0.002,1
546,112,514,150,170,63,37.5,0.002,1
549,112,515,150,172,63,37.75,0.002,1
552,111,516,150,172,63,38,0.002,1
555,111,517,150,172,63,38.25,0.002,1
558,110,517,150,174,63,38.5,0.002,1
561,110,518,150,176,63,38.75,0.002,1
564,108,519,150,179,63,39,0.002,1
567,105,519,150,182,64,39.25,0.002,1
570,105,519,150,184,64,39.5,0.002,1
573,105,519,150,185,65,39.75,0.002,1
576,105,519,150,185,65,40,0.002,1
579,105,519,150,186,65,40.25,0.002,1
582,104,520,150,187,65,40.5,0.002,1
585,104,521,150,189,65,40.75,0.002,1
588,104,522,150,192,65,41,0.002,1
591,103,524,150,194,65,41.25,0.002,1
594,101,524,150,194,65,41.5,0.002,1
597,99,524,150,196,65,41.75,0.002,1
600,97,524,150,197,65,42,0.002,1
603,97,525,150,199,65,42.25,0.002,1
606,97,525,150,201,65,42.5,0.002,1
609,97,526,150,201,65,42.75,0.002,1
612,97,527,150,202,65,43,0.002,1
615,97,528,150,202,65,43.25,0.002,1
618,97,530,150,203,65,43.5,0.002,1
621,97,530,150,203,65,43.75,0.002,1
624,97,530,150,205,65,44,0.002,1
627,97,534,150,207,65,44.25,0.002,1
630,97,535,150,208,65,44.5,0.002,1
633,97,536,150,211,65,44.75,0.002,1
636,97,537,150,212,65,45,0.002,1
639,97,537,150,214,65,45.25,0.002,1
642,96,538,150,217,65,45.5,0.002,1
645,95,539,150,218,65,45.75,0.002,1
648,94,541,150,220,65,46,0.002,1
651,94,541,150,222,65,46.25,0.002,1
654,94,542,150,223,65,46.5,0.002,1
657,94,542,150,225,65,46.75,0.002,1
660,94,542,150,227,65,47,0.002,1
663,94,544,150,228,65,47.25,0.002,1
666,93,546,150,231,65,47.5,0.002,1
669,93,546,150,233,65,47.75,0.002,1
672,93,548,150,234,65,48,0.002,1
675,93,548,150,235,65,48.25,0.002,1
678,92,550,150,237,65,48.5,0.002,1
681,91,551,150,238,65,48.75,0.002,1
684,91,551,150,240,65,49,0.002,1
687,91,552,150,242,65,49.25,0.002,1
690,91,553,150,244,65,49.5,0.002,1
693,88,555,150,247,65,49.75,0.002,1
696,86,556,150,248,65,50,0.002,1
699,85,558,150,249,65,50.25,0.002,1
702,85,558,150,250,65,50.5,0.002,1
705,85,562,150,251,65,50.75,0.002,1
708,85,563,150,253,65,51,0.002,1
711,85,565,150,254,65,51.25,0.002,1
714,85,566,150,254,65,51.5,0.002,1
717,84,567,150,255,65,51.75,0.002,1
720,84,569,150,255,65,52,0.002,1
723,83,570,150,257,65,52.25,0.002,1
726,83,571,150,260,65,52.5,0.002,1
729,83,573,150,263,65,52.75,0.002,1
732,82,574,150,264,65,53,0.002,1
735,81,574,150,264,66,53.25,0.002,1
738,80,576,150,267,66,53.5,0.002,1
741,80,577,150,268,66,53.75,0.002,1
744,80,579,150,269,66,54,0.002,1
747,80,580,150,269,67,54.25,0.002,1
750,78,580,150,269,67,54.5,0.002,1
753,76,581,150,270,67,54.75,0.002,1
756,76,584,150,270,67,55,0.002,1
759,75,586,150,271,67,55.25,0.002,1
762,75,587,150,273,67,55.5,0.002,1
765,74,587,150,275,67,55.75,0.002,1
768,74,590,150,276,67,56,0.002,1
771,74,591,150,278,67,56.25,0.002,1
774,74,593,150,280,67,56.5,0.002,1
777,74,594,150,283,67,56.75,0.002,1
780,74,595,150,284,67,57,0.002,1
783,74,596,150,286,67,57.25,0.002,1
786,74,597,150,287,67,57.5,0.002,1
789,73,598,150,290,67,57.75,0.002,1
792,73,600,150,290,67,58,0.002,1
795,73,600,150,292,67,58.25,0.002,1
798,73,602,150,293,67,58.5,0.002,1
801,73,604,150,295,68,58.75,0.002,1
804,73,605,150,296,68,59,0.002,1
807,72,605,150,298,68,59.25,0.002,1
810,72,605,150,298,68,59.5,0.002,1
813,72,606,150,298,68,59.75,0.002,1
816,71,611,150,299,68,60,0.002,1
819,70,611,150,301,68,60.25,0.002,1
822,70,611,150,303,68,60.5,0.002,1
825,69,612,150,305,68,60.75,0.002,1
828,68,613,150,307,68,61,0.002,1
831,68,614,150,308,68,61.25,0.002,1
834,66,616,150,309,68,61.5,0.002,1
837,65,619,150,311,68,61.75,0.002,1
840,63,621,150,312,69,62,0.002,1
843,60,623,150,313,69,62.25,0.002,1
846,60,623,150,314,69,62.5,0.002,1
849,59,624,150,315,69,62.75,0.002,1
852,58,626,150,317,69,63,0.002,1
855,57,627,150,318,69,63.25,0.002,1
858,56,628,150,319,69,63.5,0.002,1
861,56,628,150,320,69,63.75,0.002,1
864,56,628,150,320,69,64,0.002,1
867,56,629,150,321,69,64.25,0.002,1
870,54,631,150,323,69,64.5,0.002,1
873,53,631,150,323,69,64.75,0.002,1
876,53,634,150,325,69,65,0.002,1
879,53,634,150,328,69,65.25,0.002,1
882,53,637,150,329,69,65.5,0.002,1
885,53,637,150,331,69,65.75,0.002,1
888,53,638,150,333,69,66,0.002,1
891,52,641,150,336,69,66.25,0.002,1
894,50,643,150,338,69,66.5,0.002,1
897,49,646,150,339,69,66.75,0.002,1
900,49,649,150,340,69,67,0.002,1
903,49,649,150,340,69,67.25,0.002,1
906,48,649,150,342,69,67.5,0.002,1
909,48,650,150,344,69,67.75,0.002,1
912,46,652,150,345,69,68,0.002,1
915,46,653,150,348,69,68.25,0.002,1
918,46,654,150,348,69,68.5,0.002,1
921,46,656,150,350,70,68.75,0.002,1
924,45,656,150,352,71,69,0.002,1
927,45,657,150,353,71,69.25,0.002,1
930,45,659,150,355,72,69.5,0.002,1
933,45,661,150,357,72,69.75,0.002,1
936,45,661,150,359,72,70,0.002,1
939,45,662,150,362,72,70.25,0.002,1
942,45,665,150,365,72,70.5,0.002,1
945,45,665,150,365,72,70.75,0.002,1
948,45,665,150,368,72,71,0.002,1
951,44,666,150,370,72,71.25,0.002,1
954,44,669,150,371,73,71.5,0.002,1
957,44,669,150,372,73,71.75,0.002,1
960,43,671,150,374,73,72,0.002,1
963,43,671,150,376,73,72.25,0.002,1
966,43,672,150,378,73,72.5,0.002,1
969,43,673,150,379,73,72.75,0.002,1
972,43,674,150,380,73,73,0.002,1
975,41,675,150,382,73,73.25,0.002,1
978,40,677,150,383,73,73.5,0.002,1
981,40,678,150,383,73,73.75,0.002,1
984,40,679,150,383,73,74,0.002,1
987,40,679,150,383,73,74.25,0.002,1
990,40,682,150,383,73,74.5,0.002,1
993,40,683,150,383,73,74.75,0.002,1
996,38,688,150,383,73,75,0.002,1
999,38,689,150,383,73,75.25,0.002,1
1002,38,689,150,383,73,75.5,0.002,1
1005,37,692,150,383,73,75.75,0.002,1
1008,37,693,150,383,73,76,0.002,1
1011,37,695,150,383,73,76.25,0.002,1
1014,36,696,150,383,73,76.5,0.002,1
1017,36,698,150,383,73,76.75,0.002,1
1020,36,699,150,383,73,77,0.002,1
1023,36,702,150,383,73,77.25,0.002,1
1026,36,706,150,383,73,77.5,0.002,1
1029,36,707,150,383,73,77.75,0.002,1
1032,36,711,150,383,73,78,0.002,1
1035,36,712,150,383,73,78.25,0.002,1
1038,36,714,150,383,73,78.5,0.002,1
1041,36,718,150,383,73,78.75,0.002,1
1044,36,718,150,383,73,79,0.002,1
1047,36,719,150,383,73,79.25,0.002,1
1050,36,721,150,383,73,79.5,0.002,1
1053,36,722,150,383,73,79.75,0.002,1
1056,36,722,150,383,73,80,0.002,1
1059,36,724,150,383,73,80.25,0.002,1
1062,35,725,150,383,73,80.5,0.002,1
1065,35,728,150,383,73,80.75,0.002,1
1068,35,730,150,383,73,81,0.002,1
1071,35,731,150,383,73,81.25,0.002,1
1074,35,732,150,383,73,81.5,0.002,1
1077,35,733,150,383,73,81.75,0.002,1
1080,35,735,150,383,73,82,0.002,1
1083,35,736,150,383,73,82.25,0.002,1
1086,35,737,150,383,73,82.5,0.002,1
1089,35,741,150,383,73,82.75,0.002,1
1092,35,742,150,383,73,83,0.002,1
1095,35,743,150,383,73,83.25,0.002,1
1098,35,747,150,383,73,83.5,0.002,1
1101,35,747,150,383,73,83.75,0.002,1
1104,35,749,150,383,73,84,0.002,1
1107,35,750,150,383,73,84.25,0.002,1
1110,35,751,150,383,73,84.5,0.002,1
1113,35,751,150,383,73,84.75,0.002,1
1116,35,752,150,383,73,85,0.002,1
1119,35,754,150,383,73,85.25,0.002,1
1122,35,756,150,383,73,85.5,0.002,1
1125,35,758,150,383,73,85.75,0.002,1
1128,35,761,150,383,73,86,0.002,1
1131,35,763,150,383,73,86.25,0.002,1
1134,35,764,150,383,73,86.5,0.002,1
1137,35,766,150,383,73,86.75,0.002,1
1140,35,766,150,383,73,87,0.002,1
1143,35,767,150,383,73,87.25,0.002,1
1146,35,769,150,383,73,87.5,0.002,1
1149,35,769,150,383,73,87.75,0.002,1
1152,35,770,150,383,73,88,0.002,1
1155,35,773,150,383,73,88.25,0.002,1
1158,34,773,150,383,73,88.5,0.002,1
1161,34,774,150,383,73,88.75,0.002,1
1164,34,776,150,383,73,89,0.002,1
1167,33,778,150,383,73,89.25,0.002,1
1170,33,778,150,383,73,89.5,0.002,1
1173,33,778,150,383,73,89.75,0.002,1
1176,33,779,150,383,73,90,0.002,1
1179,33,782,150,383,73,90.25,0.002,1
1182,33,784,150,383,73,90.5,0.002,1
1185,33,785,150,383,73,90.75,0.002,1
1188,33,785,150,383,73,91,0.002,1
1191,33,786,150,383,73,91.25,0.002,1
1194,33,787,150,383,73,91.5,0.002,1
1197,33,790,150,383,73,91.75,0.002,1
1200,33,792,150,383,73,92,0.002,1
1203,33,792,150,383,73,92.25,0.002,1
1206,33,792,150,383,73,92.5,0.002,1
1209,33,794,150,383,73,92.75,0.002,1
1212,33,797,150,383,73,93,0.002,1
1215,33,799,150,383,73,93.25,0.002,1
1218,33,800,150,383,73,93.5,0.002,1
1221,33,801,150,383,73,93.75,0.002,1
1224,33,804,150,383,73,94,0.002,1
1227,33,805,150,383,73,94.25,0.002,1
1230,33,807,150,383,73,94.5,0.002,1
1233,32,809,150,383,73,94.75,0.002,1
1236,32,810,150,383,73,95,0.002,1
1239,32,812,150,383,73,95.25,0.002,1
1242,32,815,150,383,73,95.5,0.002,1
1245,32,816,150,383,73,95.75,0.002,1
1248,32,817,150,383,73,96,0.002,1
1251,32,820,150,383,73,96.25,0.002,1
1254,32,821,150,383,73,96.5,0.002,1
1257,32,822,150,383,73,96.75,0.002,1
1260,32,823,150,383,73,97,0.002,1
1263,32,825,150,383,73,97.25,0.002,1
1266,32,825,150,383,74,97.5,0.002,1
1269,32,828,150,383,74,97.75,0.002,1
1272,32,830,150,383,74,98,0.002,1
1275,32,835,150,383,74,98.25,0.002,1
1278,32,836,150,383,74,98.5,0.002,1
1281,32,837,150,383,74,98.75,0.002,1
1284,32,837,150,383,74,99,0.002,1
1287,32,838,150,383,74,99.25,0.002,1
1290,32,840,150,383,74,99.5,0.002,1
1293,32,842,150,383,74,99.75,0.002,1
1296,32,844,150,383,76,100,0.002,1
1299,32,848,150,383,76,100.25,0.002,1
1302,32,850,150,383,76,100.5,0.002,1
1305,32,852,150,383,76,100.75,0.002,1
1308,29,853,150,383,76,101,0.002,1
1311,29,854,150,383,76,101.25,0.002,1
1314,29,854,150,383,76,101.5,0.002,1
1317,29,855,150,383,76,101.75,0.002,1
1320,29,856,150,383,76,102,0.002,1
1323,29,856,150,383,76,102.25,0.002,1
1326,29,858,150,383,76,102.5,0.002,1
1329,29,860,150,383,76,102.75,0.002,1
1332,28,861,150,383,76,103,0.002,1
1335,28,865,150,383,76,103.25,0.002,1
1338,28,868,150,383,76,103.5,0.002,1
1341,28,869,150,383,76,103.75,0.002,1
1344,28,871,150,383,76,104,0.002,1
1347,28,873,150,383,76,104.25,0.002,1
1350,28,876,150,383,76,104.5,0.002,1
1353,28,880,150,383,77,104.75,0.002,1
1356,28,882,150,383,77,105,0.002,1
1359,28,883,150,383,77,105.25,0.002,1
1362,28,885,150,383,77,105.5,0.002,1
1365,28,885,150,383,77,105.75,0.002,1
1368,28,887,150,383,77,106,0.002,1
1371,28,888,150,383,78,106.25,0.002,1
1374,28,890,150,383,78,106.5,0.002,1
1377,28,890,150,383,78,106.75,0.002,1
1380,28,890,150,383,78,107,0.002,1
1383,28,890,150,383,79,107.25,0.002,1
1386,28,890,150,383,79,107.5,0.002,1
1389,27,890,150,383,79,107.75,0.002,1
1392,27,892,150,383,79,108,0.002,1
1395,27,893,150,383,79,108.25,0.002,1
1398,27,896,150,383,79,108.5,0.002,1
1401,26,897,150,383,79,108.75,0.002,1
1404,25,901,150,383,80,109,0.002,1
1407,25,903,150,383,81,109.25,0.002,1
1410,25,905,150,383,81,109.5,0.002,1
1413,25,906,150,383,81,109.75,0.002,1
1416,25,906,150,383,81,110,0.002,1
1419,25,910,150,383,81,110.25,0.002,1
1422,25,912,150,383,81,110.5,0.002,1
1425,25,912,150,383,81,110.75,0.002,1
1428,24,914,150,383,81,111,0.002,1
1431,24,915,150,383,81,111.25,0.002,1
1434,24,917,150,383,81,111.5,0.002,1
1437,24,917,150,383,81,111.75,0.002,1
1440,24,919,150,383,81,112,0.002,1
1443,24,921,150,383,81,112.25,0.002,1
1446,24,922,150,383,81,112.5,0.002,1
1449,24,923,150,383,81,112.75,0.002,1
1452,24,924,150,383,81,113,0.002,1
1455,24,925,150,383,81,113.25,0.002,1
1458,24,927,150,383,81,113.5,0.002,1
1461,22,929,150,383,81,113.75,0.002,1
1464,21,931,150,383,81,114,0.002,1
1467,21,933,150,383,81,114.25,0.002,1
1470,21,934,150,383,81,114.5,0.002,1
1473,21,937,150,383,81,114.75,0.002,1
1476,21,938,150,383,81,115,0.002,1
1479,21,939,150,383,81,115.25,0.002,1
1482,21,940,150,383,81,115.5,0.002,1
1485,21,942,150,383,81,115.75,0.002,1
1488,21,945,150,383,81,116,0.002,1
1491,21,945,150,383,81,116.25,0.002,1
1494,20,947,150,383,81,116.5,0.002,1
1497,20,949,150,383,81,116.75,0.002,1
1500,20,952,150,383,81,117,0.002,1
1503,20,954,150,383,81,117.25,0.002,1
1506,20,955,150,383,81,117.5,0.002,1
1509,20,955,150,383,82,117.75,0.002,1
1512,20,957,150,383,82,118,0.002,1
1515,20,960,150,383,82,118.25,0.002,1
1518,20,960,150,383,82,118.5,0.002,1
1521,20,960,150,383,82,118.75,0.002,1
1524,20,960,150,383,82,119,0.002,1
1527,20,962,150,383,83,119.25,0.002,1
1530,20,962,150,383,84,119.5,0.002,1
1533,20,964,150,383,84,119.75,0.002,1
1536,20,965,150,383,84,120,0.002,1
1539,20,966,150,383,84,120.25,0.002,1
1542,20,969,150,383,84,120.5,0.002,1
1545,20,971,150,383,84,120.75,0.002,1
1548,20,971,150,383,84,121,0.002,1
1551,20,971,150,383,85,121.25,0.002,1
1554,20,975,150,383,85,121.5,0.002,1
1557,19,976,150,383,85,121.75,0.002,1
1560,19,978,150,383,86,122,0.002,1
1563,19,979,150,383,86,122.25,0.002,1
1566,19,979,150,383,86,122.5,0.002,1
1569,19,982,150,383,86,122.75,0.002,1
1572,19,984,150,383,87,123,0.002,1
1575,19,986,150,383,87,123.25,0.002,1
1578,19,987,150,383,87,123.5,0.002,1
1581,19,989,150,383,87,123.75,0.002,1
1584,18,991,150,383,87,124,0.002,1
1587,18,992,150,383,87,124.25,0.002,1
1590,18,993,150,383,87,124.5,0.002,1
1593,18,995,150,383,87,124.75,0.002,1
1596,18,995,150,383,87,125,0.002,1
1599,18,997,150,383,87,125.25,0.002,1
1602,17,998,150,383,87,125.5,0.002,1
1605,17,1003,150,383,87,125.75,0.002,1
1608,17,1008,150,383,87,126,0.002,1
1611,17,1012,150,383,87,126.25,0.002,1
1614,17,1012,150,383,87,126.5,0.002,1
1617,17,1014,150,383,87,126.75,0.002,1
1620,17,1017,150,383,87,127,0.002,1
1623,17,1020,150,383,87,127.25,0.002,1
1626,17,1022,150,383,87,127.5,0.002,1
1629,17,1024,150,383,88,127.75,0.002,1
1632,17,1025,150,383,88,128,0.002,1
1635,17,1026,150,383,88,128.25,0.002,1
1638,17,1027,150,383,89,128.5,0.002,1
1641,17,1028,150,383,89,128.75,0.002,1
1644,17,1031,150,383,89,129,0.002,1
1647,17,1032,150,383,89,129.25,0.002,1
1650,17,1037,150,383,89,129.5,0.002,1
1653,17,1038,150,383,89,129.75,0.002,1
1656,17,1038,150,383,90,130,0.002,1
1659,17,1039,150,383,90,130.25,0.002,1
1662,17,1040,150,383,90,130.5,0.002,1
1665,17,1042,150,383,90,130.75,0.002,1
1668,17,1043,150,383,91,131,0.002,1
1671,17,1044,150,383,91,131.25,0.002,1
1674,17,1048,150,383,91,131.5,0.002,1
1677,17,1050,150,383,91,131.75,0.002,1
1680,16,1051,150,383,91,132,0.002,1
1683,16,1054,150,383,91,132.25,0.002,1
1686,16,1055,150,383,91,132.5,0.002,1
1689,16,1056,150,383,91,132.75,0.002,1
1692,15,1059,150,383,91,133,0.002,1
1695,15,1063,150,383,91,133.25,0.002,1
1698,15,1063,150,383,91,133.5,0.002,1
1701,15,1064,150,383,91,133.75,0.002,1
1704,15,1071,150,383,91,134,0.002,1
1707,15,1075,150,383,91,134.25,0.002,1
1710,15,1078,150,383,91,134.5,0.002,1
1713,14,1080,150,383,91,134.75,0.002,1
1716,14,1080,150,383,91,135,0.002,1
1719,14,1083,150,383,91,135.25,0.002,1
1722,14,1087,150,383,91,135.5,0.002,1
1725,13,1087,150,383,91,135.75,0.002,1
1728,13,1087,150,383,91,136,0.002,1
1731,13,1087,150,383,91,136.25,0.002,1
1734,13,1090,150,383,91,136.5,0.002,1
1737,13,1091,150,383,91,136.75,0.002,1
1740,13,1092,150,383,91,137,0.002,1
1743,13,1095,150,383,91,137.25,0.002,1
1746,13,1097,150,383,91,137.5,0.002,1
1749,13,1100,150,383,91,137.75,0.002,1
1752,13,1103,150,383,91,138,0.002,1
1755,13,1105,150,383,91,138.25,0.002,1
1758,13,1105,150,383,91,138.5,0.002,1
1761,13,1106,150,383,91,138.75,0.002,1
1764,13,1107,150,383,91,139,0.002,1
1767,13,1109,150,383,91,139.25,0.002,1
1770,13,1110,150,383,91,139.5,0.002,1
1773,13,1112,150,383,91,139.75,0.002,1
1776,13,1112,150,383,91,140,0.002,1
1779,13,1115,150,383,92,140.25,0.002,1
1782,12,1116,150,383,92,140.5,0.002,1
1785,11,1116,150,383,92,140.75,0.002,1
1788,10,1117,150,383,92,141,0.002,1
1791,10,1119,150,383,92,141.25,0.002,1
1794,10,1123,150,383,92,141.5,0.002,1
1797,10,1124,150,383,92,141.75,0.002,1
1800,10,1126,150,383,92,142,0.002,1
1803,10,1128,150,383,92,142.25,0.002,1
1806,10,1129,150,383,93,142.5,0.002,1
1809,10,1130,150,383,93,142.75,0.002,1
1812,10,1131,150,383,93,143,0.002,1
1815,10,1134,150,383,93,143.25,0.002,1
1818,10,1136,150,383,93,143.5,0.002,1
1821,10,1138,150,383,93,143.75,0.002,1
1824,10,1139,150,383,93,144,0.002,1
1827,10,1139,150,383,93,144.25,0.002,1
1830,10,1141,150,383,93,144.5,0.002,1
1833,10,1142,150,383,93,144.75,0.002,1
1836,10,1143,150,383,94,145,0.002,1
1839,10,1146,150,383,94,145.25,0.002,1
1842,10,1147,150,383,94,145.5,0.002,1
1845,10,1148,150,383,94,145.75,0.002,1
1848,10,1152,150,383,94,146,0.002,1
1851,10,1153,150,383,94,146.25,0.002,1
1854,10,1155,150,383,94,146.5,0.002,1
1857,10,1157,150,383,94,146.75,0.002,1
1860,10,1160,150,383,94,147,0.002,1
1863,10,1161,150,383,94,147.25,0.002,1
1866,10,1163,150,383,94,147.5,0.002,1
1869,10,1163,150,383,94,147.75,0.002,1
1872,10,1164,150,383,94,148,0.002,1
1875,10,1165,150,383,94,148.25,0.002,1
1878,9,1166,150,383,94,148.5,0.002,1
1881,9,1168,150,383,94,148.75,0.002,1
1884,9,1169,150,383,94,149,0.002,1
